"","date","File.Name","Dataset","aid","Count","Minimum","Maximum","Range","Mean","Standard.Deviation","Variance","Upper.Quartile","Upper.1.5.IQR","veg_index","Lower.1.5.IQR","Lower.Quartile","min_temp","max_temp","Temperature","Dew.Point","humid","rain","wind_speed","wind_dir","visibility","pollen_count","day","month","year","fyear","ds","logvalue","season","pollen_cat","mintemp_anom","maxtemp_anom"
"1",2011-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.4,29.1,21,17.2,80.88,12.46,33.5,165.5,15.2,4,"01","01","2011","2011",1,1.6094379124341,"In season","Moderate",-0.543129396054855,12.1568706039451
"2",2011-01-02,"MOD13Q1_006__250m_16_days_EVI_doy2011001_aid0001","_250m_16_days_EVI","aid0001",593,-0.0355,0.5807,"(-0.0355,0.5807)",0.1566,0.0963,0.0093,0.2121,0.3669,0.1491,-0.0355,0.0837,15,21.1,17.9,16.3,91.1,4.3,40.6,230.65,8.5,4,"02","01","2011","2011",2,1.6094379124341,"In season","Moderate",-1.99242464737256,4.10757535262744
"3",2011-01-03,"MOD13Q1_006__250m_16_days_EVI_doy2011001_aid0001","_250m_16_days_EVI","aid0001",593,-0.0355,0.5807,"(-0.0355,0.5807)",0.1566,0.0963,0.0093,0.2121,0.3669,0.1491,-0.0355,0.0837,17.1,33.1,24.4,14.6,56.65,0,40.6,166.79,18.3,0,"03","01","2011","2011",3,0,"In season","Very low",0.0594904468469259,16.0594904468469
"4",2011-01-04,"MOD13Q1_006__250m_16_days_EVI_doy2011001_aid0001","_250m_16_days_EVI","aid0001",593,-0.0355,0.5807,"(-0.0355,0.5807)",0.1566,0.0963,0.0093,0.2121,0.3669,0.1491,-0.0355,0.0837,18.1,34.5,25.7,15.7,57.91,0,30.3,197.3,15.4,12,"04","01","2011","2011",4,2.56494935746154,"In season","High",1.01264481309744,17.4126448130974
"5",2011-01-05,"MOD13Q1_006__250m_16_days_EVI_doy2011001_aid0001","_250m_16_days_EVI","aid0001",593,-0.0355,0.5807,"(-0.0355,0.5807)",0.1566,0.0963,0.0093,0.2121,0.3669,0.1491,-0.0355,0.0837,18.1,35.1,25.9,16.8,60.23,0,27.7,204.68,16.7,1,"05","01","2011","2011",5,0.693147180559945,"In season","Low",0.967067377872819,17.9670673778728
"6",2011-01-06,"MOD13Q1_006__250m_16_days_EVI_doy2011001_aid0001","_250m_16_days_EVI","aid0001",593,-0.0355,0.5807,"(-0.0355,0.5807)",0.1566,0.0963,0.0093,0.2121,0.3669,0.1491,-0.0355,0.0837,17.7,33.1,25.7,14.9,54.19,0,30.7,203.83,16.4,6,"06","01","2011","2011",6,1.94591014905531,"In season","Moderate",0.522787067666911,15.9227870676669
"7",2011-01-07,"MOD13Q1_006__250m_16_days_EVI_doy2011001_aid0001","_250m_16_days_EVI","aid0001",593,-0.0355,0.5807,"(-0.0355,0.5807)",0.1566,0.0963,0.0093,0.2121,0.3669,0.1491,-0.0355,0.0837,14.1,27.2,20.2,16.8,83.07,14.3,29.5,175.48,10,3,"07","01","2011","2011",7,1.38629436111989,"In season","Moderate",-3.12016719102644,9.97983280897356
"8",2011-01-08,"MOD13Q1_006__250m_16_days_EVI_doy2011001_aid0001","_250m_16_days_EVI","aid0001",593,-0.0355,0.5807,"(-0.0355,0.5807)",0.1566,0.0963,0.0093,0.2121,0.3669,0.1491,-0.0355,0.0837,17.5,26.6,21.4,18.1,82.79,0,33.5,190.75,10.2,0,"08","01","2011","2011",8,0,"In season","Very low",0.23823352828661,9.33823352828661
"9",2011-01-09,"MOD13Q1_006__250m_16_days_EVI_doy2011001_aid0001","_250m_16_days_EVI","aid0001",593,-0.0355,0.5807,"(-0.0355,0.5807)",0.1566,0.0963,0.0093,0.2121,0.3669,0.1491,-0.0355,0.0837,15.7,26.1,21.2,17.5,80.66,18.3,29.5,207.55,13.2,1,"09","01","2011","2011",9,0.693147180559945,"In season","Low",-1.6019818479001,8.7980181520999
"10",2011-01-10,"MOD13Q1_006__250m_16_days_EVI_doy2011001_aid0001","_250m_16_days_EVI","aid0001",593,-0.0355,0.5807,"(-0.0355,0.5807)",0.1566,0.0963,0.0093,0.2121,0.3669,0.1491,-0.0355,0.0837,15.1,24.1,19.5,12.3,65.52,0,48.2,172.18,14.5,7,"10","01","2011","2011",10,2.07944154167984,"In season","Moderate",-2.24078439309271,6.75921560690729
"11",2011-01-11,"MOD13Q1_006__250m_16_days_EVI_doy2011001_aid0001","_250m_16_days_EVI","aid0001",593,-0.0355,0.5807,"(-0.0355,0.5807)",0.1566,0.0963,0.0093,0.2121,0.3669,0.1491,-0.0355,0.0837,16.7,26.1,21.2,12,56.82,0,45.8,175.74,15.3,4,"11","01","2011","2011",11,1.6094379124341,"In season","Moderate",-0.678145180797404,8.7218548192026
"12",2011-01-12,"MOD13Q1_006__250m_16_days_EVI_doy2011001_aid0001","_250m_16_days_EVI","aid0001",593,-0.0355,0.5807,"(-0.0355,0.5807)",0.1566,0.0963,0.0093,0.2121,0.3669,0.1491,-0.0355,0.0837,18.1,26.1,21.4,14.7,67.05,0,60.1,190.83,16.2,1,"12","01","2011","2011",12,0.693147180559945,"In season","Low",0.685964715479681,8.68596471547968
"13",2011-01-13,"MOD13Q1_006__250m_16_days_EVI_doy2011001_aid0001","_250m_16_days_EVI","aid0001",593,-0.0355,0.5807,"(-0.0355,0.5807)",0.1566,0.0963,0.0093,0.2121,0.3669,0.1491,-0.0355,0.0837,19.3,29.1,23.1,16.5,67.58,0,50.9,185.79,15.3,3,"13","01","2011","2011",13,1.38629436111989,"In season","Moderate",1.85157422223238,11.6515742222324
"14",2011-01-14,"MOD13Q1_006__250m_16_days_EVI_doy2011001_aid0001","_250m_16_days_EVI","aid0001",593,-0.0355,0.5807,"(-0.0355,0.5807)",0.1566,0.0963,0.0093,0.2121,0.3669,0.1491,-0.0355,0.0837,17.7,24.1,20.1,15,73.94,0,46.4,179.48,15.2,2,"14","01","2011","2011",14,1.09861228866811,"In season","Low",0.218712265954544,6.61871226595455
"15",2011-01-15,"MOD13Q1_006__250m_16_days_EVI_doy2011001_aid0001","_250m_16_days_EVI","aid0001",593,-0.0355,0.5807,"(-0.0355,0.5807)",0.1566,0.0963,0.0093,0.2121,0.3669,0.1491,-0.0355,0.0837,16.1,27.1,21.1,14.3,67.12,0,38.9,205.38,16.5,4,"15","01","2011","2011",15,1.6094379124341,"In season","Moderate",-1.41259222685999,9.58740777314001
"16",2011-01-16,"MOD13Q1_006__250m_16_days_EVI_doy2011001_aid0001","_250m_16_days_EVI","aid0001",593,-0.0355,0.5807,"(-0.0355,0.5807)",0.1566,0.0963,0.0093,0.2121,0.3669,0.1491,-0.0355,0.0837,14.4,25.1,20.2,14.8,73.05,0,29.5,221.04,14,1,"16","01","2011","2011",16,0.693147180559945,"In season","Low",-3.14231032971737,7.55768967028263
"17",2011-01-17,"MOD13Q1_006__250m_16_days_EVI_doy2011001_aid0001","_250m_16_days_EVI","aid0001",593,-0.0355,0.5807,"(-0.0355,0.5807)",0.1566,0.0963,0.0093,0.2121,0.3669,0.1491,-0.0355,0.0837,17.1,26.1,20.7,13.2,63.88,0.2,37.6,194.29,12.8,4,"17","01","2011","2011",17,1.6094379124341,"In season","Moderate",-0.470413116123769,8.52958688387623
"18",2011-01-18,"MOD13Q1_006__250m_16_days_EVI_doy2011017_aid0001","_250m_16_days_EVI","aid0001",609,-0.0164,0.572,"(-0.0164,0.572)",0.1467,0.0931,0.0087,0.2074,0.3638,0.1308,-0.0164,0.0816,16.1,28,21.6,16,72.82,0,33.5,193.92,12.4,2,"18","01","2011","2011",18,1.09861228866811,"In season","Low",-1.49687165958533,10.4031283404147
"19",2011-01-19,"MOD13Q1_006__250m_16_days_EVI_doy2011017_aid0001","_250m_16_days_EVI","aid0001",609,-0.0164,0.572,"(-0.0164,0.572)",0.1467,0.0931,0.0087,0.2074,0.3638,0.1308,-0.0164,0.0816,18.1,27.1,22.1,17.2,76.07,0,27.7,196.58,12.5,1,"19","01","2011","2011",19,0.693147180559945,"In season","Low",0.478342966391779,9.47834296639178
"20",2011-01-20,"MOD13Q1_006__250m_16_days_EVI_doy2011017_aid0001","_250m_16_days_EVI","aid0001",609,-0.0164,0.572,"(-0.0164,0.572)",0.1467,0.0931,0.0087,0.2074,0.3638,0.1308,-0.0164,0.0816,17.1,25.1,21,12.1,58.3,0.5,52.5,165.46,15.5,0,"20","01","2011","2011",20,0,"In season","Very low",-0.544740311698586,7.45525968830141
